"filename", "language", "HTML", "SCSS", "CSS", "comment", "blank", "total"
"/Users/darrellparkhouse/projects/python/library-management-system-python/static/css/app.css", "CSS", 0, 0, 83, 1, 17, 101
"/Users/darrellparkhouse/projects/python/library-management-system-python/templates/admin/books/views.html", "HTML", 52, 0, 0, 0, 4, 56
"/Users/darrellparkhouse/projects/python/library-management-system-python/templates/admin/home.html", "HTML", 22, 0, 0, 0, 2, 24
"/Users/darrellparkhouse/projects/python/library-management-system-python/templates/admin/login.html", "HTML", 7, 0, 0, 0, 3, 10
"/Users/darrellparkhouse/projects/python/library-management-system-python/templates/scss/app.scss", "SCSS", 0, 12, 0, 0, 2, 14
"Total", "-", 81, 12, 83, 1, 28, 205
