"filename", "language", "HTML", "SCSS", "comment", "blank", "total"
"/Users/darrellparkhouse/projects/python/library-management-system-python/templates/admin/books/book_view.html", "HTML", 21, 0, 0, -1, 20
"/Users/darrellparkhouse/projects/python/library-management-system-python/templates/admin/books/edit.html", "HTML", 18, 0, 0, 1, 19
"/Users/darrellparkhouse/projects/python/library-management-system-python/templates/scss/app.scss", "SCSS", 0, 27, 1, 9, 37
"Total", "-", 39, 27, 1, 9, 76
