"filename", "language", "HTML", "comment", "blank", "total"
"/Users/darrellparkhouse/projects/python/library-management-system-python/templates/admin/books/edit.html", "HTML", 34, 0, 3, 37
"Total", "-", 34, 0, 3, 37
